year_built,property_id,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
2021,9701039428,5227,1607,3,2,3,441554.4942140535,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1
2023,9298040019,7200,3391,4,3,5,545607.6570640807,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
1979,1349042270,9304,1564,2,2,3,410673.50475099625,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1921,1687988398,6896,1165,1,1,3,495973.3704267919,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
1920,3359641175,3920,3116,3,0,7,679592.8523411672,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1920,9854846016,4356,4496,4,0,9,358215.94070645963,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2005,6768969478,7231,1300,2,0,3,544855.9814078703,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1996,2601504618,10454,2174,2,3,3,532575.9251274393,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0
1967,6389583843,20300,2433,3,2,4,899684.7992089129,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
1953,7040035214,5706,1133,2,0,3,376289.33746527263,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1992,5986414983,2160,1234,2,1,2,899684.7992089129,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1
1985,5568560897,4792,1064,2,0,3,321857.4254205781,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1971,5314315119,10019,1512,3,0,4,315159.1268387802,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1947,6397963513,6970,676,1,0,2,621575.4363712235,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1983,5228770552,5850,1272,2,1,3,899684.7992089129,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0
1955,8025245667,6970,754,1,0,2,301804.4686227,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1925,3292979555,3200,1810,2,0,5,1620605.566436008,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1
