year_built,permalink,property_id,listing,primary_photo,sold_date,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1920,437-D-St-Apt-6B_Boston_MA_02210_M42758-91291,4275891291,2960687275,https://ap.rdcpix.com/3dd31256ca75764b9008cccea4f92ba5l-w3192063029s-w1024_h768.jpg,2024-01-16,1497,1497,1,2,1,2210,Massachusetts,Boston,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1
1962,540-Seibles-Rd_Montgomery_AL_36116_M74638-46561,7463846561,2960840384,https://ap.rdcpix.com/8475783f8e68aa2647f11714670c67bal-m3352885094s-w1024_h768.jpg,2024-01-08,67954,1833,2,2,3,36116,Alabama,Montgomery,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
1920,127-129-Magnolia-St_Hartford_CT_06112_M98548-46016,9854846016,2958175429,https://ap.rdcpix.com/cdf05f233efa12b79dc84c51a8c3e533l-m2813808677s-w1024_h768.jpg,2023-12-21,4356,4496,4,0,9,6112,Connecticut,Hartford,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1949,4494-W-Gill-Pl_Denver_CO_80219_M26677-79605,2667779605,2959673535,https://ap.rdcpix.com/3ff32d19594037e4c87e9ae0b75c8866l-m3098362764s-w1024_h768.jpg,2023-12-15,5500,790,1,0,2,80219,Colorado,Denver,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1920,3304-Forest-Hill-Ave_Richmond_VA_23225_M61227-59663,6122759663,2962114429,https://ap.rdcpix.com/104439f545e2fcc7b0658e24cd9eca22l-m3232265575s-w1024_h768.jpg,2024-01-10,8960,1299,1,0,2,23225,Virginia,Richmond,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2006,2539-Preston-View-Ct-SW_Atlanta_GA_30315_M64523-31770,6452331770,2961987122,https://ap.rdcpix.com/37812f7642ef85fb999dc7e87b6dba0dl-m2816726459s-w1024_h768.jpg,2024-01-12,5663,2400,3,2,3,30315,Georgia,Atlanta,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
2006,5560-Hampton-Hill-Cir_Tallahassee_FL_32311_M58346-21017,5834621017,2962271828,https://ap.rdcpix.com/ee105fbffdea2484069929d53f7572e2l-m1947925870s-w1024_h768.jpg,2024-01-12,6970,1706,2,2,3,32311,Florida,Tallahassee,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
1979,4813-W-Phelps-Rd_Glendale_AZ_85306_M10682-06127,1068206127,2958947289,https://ap.rdcpix.com/e9bce0f854f09d88007ac97f6b546cd1l-m1488581325s-w1024_h768.jpg,2023-12-26,8018,1156,2,2,2,85306,Arizona,Glendale,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1927,84-Enfield-Ave_Providence_RI_02908_M47533-09743,4753309743,2961587532,https://ap.rdcpix.com/f45a4acfcbd42019aa454e6ae937da49l-b1951339667s-w1024_h768.jpg,2024-01-11,11500,3867,3,2,5,2908,Rhode Island,Providence,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
2020,133-Goodman-Way_Frankfort_KY_40601_M36580-33366,3658033366,2961289526,https://ap.rdcpix.com/4609e6362382ab375f19980c3095fdecl-b53913067s-w1024_h768.jpg,2023-12-22,2526,1517,3,1,2,40601,Kentucky,Frankfort,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
1920,1129-Nottingham-Way_Hamilton_NJ_08609_M59625-40842,5962540842,2961528001,https://ap.rdcpix.com/72c4419e632ac9afc33a6c1dbed1fb57l-m1843652619s-w1024_h768.jpg,2024-01-09,1307,1158,1,0,3,8609,New Jersey,Hamilton,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1965,251-Hawkeegan-Dr_Frankfort_KY_40601_M36950-40158,3695040158,2961330126,https://ap.rdcpix.com/bb5feb6134b8bd0cd5861f9b6aec7fb8l-b569183221s-w1024_h768.jpg,2023-12-28,30231,1310,2,0,2,40601,Kentucky,Frankfort,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
2019,9072-Hardwood-Ln_Tallahassee_FL_32311_M60991-73135,6099173135,2961767459,https://ap.rdcpix.com/5d0961c6448d4a1b5908d5a0bc584f3cl-m3478876020s-w1024_h768.jpg,2024-01-10,44867,1155,2,0,3,32311,Florida,Tallahassee,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
1922,52-Catherine-St_Hartford_CT_06106_M45507-86191,4550786191,2960286382,https://ap.rdcpix.com/1c5a29a523d5fad4ba0e526ed5b7049dl-m254028180s-w1024_h768.jpg,2023-12-23,6970,2970,3,3,6,6106,Connecticut,Hartford,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1955,10622-N-9th-Dr_Phoenix_AZ_85029_M14540-33728,1454033728,2960409296,https://ap.rdcpix.com/a44d277739f96936ec135960269d6541l-m1794834257s-w1024_h768.jpg,2023-12-22,11761,1634,2,0,3,85029,Arizona,Phoenix,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8628-Graham-Dr-SE_Olympia_WA_98513_M29438-31858,2943831858,2962350467,https://ap.rdcpix.com/cf85e5a260381f5c1c8323b8ef58c038l-m2882417294s-w1024_h768.jpg,2024-01-08,4750,2387,3,2,4,98513,Washington,Olympia,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
1976,7704-Wegner-Way_Oklahoma-City_OK_73162_M85564-89499,8556489499,2958837032,https://ap.rdcpix.com/a303eacf76a4c16b34baf164819c1595l-m3586488705s-w1024_h768.jpg,2024-01-12,9727,1921,3,2,3,73162,Oklahoma,Oklahoma City,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
1945,1906-Seddon-Rd_Richmond_VA_23227_M54358-18171,5435818171,2962260394,https://ap.rdcpix.com/21cb93418508814dc835e4f77152bb5dl-m11010308s-w1024_h768.jpg,2024-01-10,6251,783,1,0,2,23227,Virginia,Richmond,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
