,year_built,tags,permalink,status,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city
43,1966.0,"['city_view', 'hardwood_floors', 'single_story', 'fenced_yard', 'rental_property', 'fixer_upper']",1109D-E-Nixon-Ave_Montgomery_AL_36104_M90664-70079,sold,50000.0,9066470079,2962546121,https://ap.rdcpix.com/9924cfbadbb7f58c86308fcd3f5b624fl-m1101185229s-w1024_h768.jpg,2024-01-12,45000,4356.0,1434.0,1.0,,2.0,36104,Alabama,Montgomery
44,2006.0,"['central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'master_bedroom', 'floor_plan', 'ensuite']",8979-Pennington-Pl_Montgomery_AL_36117_M75827-27824,sold,320000.0,7582727824,2959156747,https://ap.rdcpix.com/3f90cdabc4c809f4fa1bab1a9c9f69e3l-b3996110015s-w1024_h768.jpg,2024-01-11,310000,13068.0,2134.0,2.0,2.0,4.0,36117,Alabama,Montgomery
45,1986.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'updated_kitchen', 'master_suite', 'shopping']",3139-Sutton-Dr_Montgomery_AL_36111_M70129-48010,sold,145000.0,7012948010,2960865829,https://ap.rdcpix.com/c79ab0203ab07b75961087a8da4576eal-b3801220453s-w1024_h768.jpg,2024-01-10,147000,6970.0,1650.0,2.0,,3.0,36111,Alabama,Montgomery
46,1968.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'big_lot']",5728-Carriage-Hills-Dr_Montgomery_AL_36116_M74740-45814,sold,215000.0,7474045814,2958028203,https://ap.rdcpix.com/0fb0892ae99e35a037e46c14d9210eafl-m3337937336s-w1024_h768.jpg,2024-01-10,195000,16553.0,2264.0,2.0,2.0,5.0,36116,Alabama,Montgomery
47,1968.0,"['central_air', 'central_heat', 'city_view', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",4760-Queensbury-Ct_Montgomery_AL_36116_M81606-53135,sold,136000.0,8160653135,2961502665,https://ap.rdcpix.com/657c8bb805ac466f65c35abbf0280f15l-m3716669313s-w1024_h768.jpg,2024-01-09,136000,16988.0,1752.0,2.0,2.0,3.0,36116,Alabama,Montgomery
48,1958.0,"['carport', 'city_view', 'dishwasher', 'single_story', 'rental_property', 'medicalcare', 'shopping']",1313-Adrian-Ln_Montgomery_AL_36111_M73159-20123,sold,31500.0,7315920123,2963067396,https://ap.rdcpix.com/558260924a958b13ebfadc6f55f97d8el-m3617901769s-w1024_h768.jpg,2024-01-09,31500,11326.0,961.0,1.0,,3.0,36111,Alabama,Montgomery
49,1967.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'big_yard']",511-E-Moye-Dr_Montgomery_AL_36109_M86565-36510,sold,184900.0,8656536510,2961407982,https://ap.rdcpix.com/507ad2927a9339560b3ad0e2cd538a31l-m1808079882s-w1024_h768.jpg,2024-01-08,178000,12632.0,1892.0,2.0,,4.0,36109,Alabama,Montgomery
50,1975.0,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'disability_features', 'dishwasher', 'energy_efficient', 'washer_dryer', 'single_story']",729-Ledyard-Pl_Montgomery_AL_36109_M81829-35020,sold,169900.0,8182935020,2962227212,https://ap.rdcpix.com/c51a6a656aece95d96a00d160fb8be87l-m364873135s-w1024_h768.jpg,2024-01-08,172500,11326.0,1699.0,2.0,,4.0,36109,Alabama,Montgomery
51,1962.0,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'new_roof', 'shopping']",540-Seibles-Rd_Montgomery_AL_36116_M74638-46561,sold,159000.0,7463846561,2960840384,https://ap.rdcpix.com/8475783f8e68aa2647f11714670c67bal-m3352885094s-w1024_h768.jpg,2024-01-08,150000,67954.0,1833.0,2.0,2.0,3.0,36116,Alabama,Montgomery
52,1945.0,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'wooded_land', 'front_porch', 'large_porch', 'big_lot']",7370-Narrow-Lane-Rd_Montgomery_AL_36116_M94388-57823,sold,180000.0,9438857823,2959489307,https://ap.rdcpix.com/db0008abd1e8694dbc1a432cca961a96l-m3474430148s-w1024_h768.jpg,2024-01-08,170000,313632.0,3092.0,3.0,,3.0,36116,Alabama,Montgomery
53,1957.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story', 'big_lot']",4006-Marquette-Dr_Montgomery_AL_36109_M81639-98846,sold,125000.0,8163998846,2961396128,https://ap.rdcpix.com/98113967cb2fcc6a2b9a4e48c6e7cc2dl-m4232325385s-w1024_h768.jpg,2024-01-05,125000,12632.0,1380.0,1.0,,3.0,36109,Alabama,Montgomery
54,1984.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'ensuite']",6032-Bolingbrook-Dr_Montgomery_AL_36117_M89657-92046,sold,180000.0,8965792046,2961496687,https://ap.rdcpix.com/99a9502de91720e504c50e34162433f8l-m3674213732s-w1024_h768.jpg,2024-01-05,162000,6098.0,1539.0,2.0,,3.0,36117,Alabama,Montgomery
55,1950.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",2802-Cherry-St_Montgomery_AL_36107_M82105-00445,sold,118900.0,8210500445,2961489340,https://ap.rdcpix.com/d617c4e73f24e51446b05f256c1ae38bl-m1962391460s-w1024_h768.jpg,2024-01-05,111200,8276.0,1178.0,2.0,,3.0,36107,Alabama,Montgomery
56,1948.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'rental_property']",2938-McQueen-St_Montgomery_AL_36107_M77933-45485,sold,65000.0,7793345485,2961378333,https://ap.rdcpix.com/f2bc151cdcbd7e543f822bf008e864c2l-m1658512148s-w1024_h768.jpg,2024-01-05,63000,7405.0,1290.0,1.0,1.0,3.0,36107,Alabama,Montgomery
57,1964.0,"['central_air', 'central_heat', 'city_view', 'single_story', 'rental_property']",3010-Merrimac-Dr_Montgomery_AL_36111_M83525-09580,sold,110000.0,8352509580,2960801836,https://ap.rdcpix.com/c704f914e5df95fd8f584bce195392ccl-m2962031652s-w1024_h768.jpg,2024-01-05,106000,16553.0,2349.0,2.0,,4.0,36111,Alabama,Montgomery
58,2001.0,"['central_air', 'central_heat', 'city_view', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'open_floor_plan', 'floor_plan']",8087-Ansley-Trce_Montgomery_AL_36117_M84265-16593,sold,249000.0,8426516593,2960634023,https://ap.rdcpix.com/f889213d9dfd57b59f59fa63154356b7l-m3228417647s-w1024_h768.jpg,2024-01-05,245000,6534.0,1742.0,2.0,2.0,3.0,36117,Alabama,Montgomery
59,1989.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'golf_course_lot_or_frontage', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'big_lot']",9719-Rosalie-Dr_Montgomery_AL_36117_M80733-35883,sold,420000.0,8073335883,2958470414,https://ap.rdcpix.com/2ac61710111ba698b9acd456826038b7l-m1097976753s-w1024_h768.jpg,2024-01-05,310000,22651.0,3137.0,3.0,,4.0,36117,Alabama,Montgomery
