year_built,property_id,sold_date,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1977,2591419335,2023-12-26,37462,2903,3,2,3,Phoenix,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
2007,7539003317,2024-01-11,9583,1386,2,2,3,Mabelvale,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1995,6291671935,2024-01-16,11761,1323,2,1,3,Raleigh,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
1958,7691387118,2024-01-08,9583,2022,3,2,3,Madison,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1940,1855795715,2024-01-11,4791,1719,1,1,3,Salem,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0
2003,8020834987,2024-01-08,8276,1678,2,0,3,Little Rock,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
1979,7121048958,2024-01-12,8377,1645,2,2,3,Oklahoma City,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
1995,6237481843,2024-01-12,4356,1230,3,0,2,Raleigh,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
1978,5457754728,2023-12-15,3300,1524,3,0,3,Dover,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1943,1370982891,2023-10-31,6250,1717,3,2,3,Denver,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2004,5323561016,2024-01-16,3920,1531,3,2,3,Raleigh,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
2002,3400641568,2023-12-29,7405,1061,1,1,2,Albany,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
2000,7785709635,2024-01-10,8712,2340,3,2,4,Little Rock,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
1960,7366299978,2024-01-16,45738,1763,1,0,3,Oklahoma City,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
1952,1922686308,2024-01-12,4792,1018,1,1,3,Sacramento,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1985,2661504436,2024-01-10,4953,1131,2,2,3,Sacramento,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
1905,9293547852,2024-01-09,3600,4408,4,1,11,Boston,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1
1958,4303760561,2023-12-07,5998,1200,1,2,3,Columbus,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
1989,1377592292,2024-01-12,4726,1284,2,2,3,Sacramento,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0
1989,8073335883,2024-01-05,22651,3137,3,0,4,Montgomery,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0
1947,7880325875,2024-01-08,4400,720,2,1,2,Saint Paul,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1
1961,6328744302,2023-07-24,23522,1584,2,0,3,Columbia,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
1952,3817652508,2024-01-02,7405,1333,1,0,3,Lansing,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
1930,3723040976,2024-01-02,5001,1836,2,1,4,Providence,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1969,7228562975,2024-01-05,10454,1108,2,0,3,Little Rock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5208882615,2023-12-28,4678,1734,3,1,3,Dover,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
2001,2650396128,2023-12-20,10454,2543,3,3,3,Carson City,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1993,1375920461,2023-12-26,4696,1650,2,2,3,Phoenix,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0
1957,8945680329,2024-01-12,11761,1446,2,0,3,Little Rock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,6685309395,2023-12-08,2420,1955,3,1,3,Dover,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
