,year_built,permalink,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
60,1950,256-Perry-Hill-Rd_Montgomery_AL_36109_M70561-13344,105000.0,7056113344,2959876046,https://ap.rdcpix.com/8d3b70ca02d22b97f9e669584b946e4el-m1202318012s-w1024_h768.jpg,2024-01-05,100000.0,15682,1471,1,0,3,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
61,1971,6212-Hinchcliff-Rd_Montgomery_AL_36117_M79476-55529,95500.0,7947655529,2962219368,https://ap.rdcpix.com/bb6187d68e068cd5dcffe91b8d3d66efl-m700922381s-w1024_h768.jpg,2024-01-05,95900.0,10664,1200,2,0,3,36117,Alabama,Montgomery,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
63,2004,861-Somerset-Dr_Montgomery_AL_36117_M87827-79002,334900.0,8782779002,2962186447,https://ap.rdcpix.com/5a8d93258c6ec619823ff5ac29916241l-m2287927989s-w1024_h768.jpg,2024-01-04,320000.0,9583,2488,2,2,3,36117,Alabama,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
64,1971,3223-Babette-Cir_Montgomery_AL_36116_M71524-86220,119900.0,7152486220,2960272346,https://ap.rdcpix.com/47d091afe9a414d8ecf363fa8627f13cl-m2264284966s-w1024_h768.jpg,2024-01-04,120000.0,10019,1747,2,0,3,36116,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,1994,2349-Brookstone-Dr_Montgomery_AL_36117_M71940-45969,289900.0,7194045969,2961543302,https://ap.rdcpix.com/22dae1c10863474a4ec207164c4ddb23l-m177292656s-w1024_h768.jpg,2024-01-03,283000.0,13747,2069,2,2,4,36117,Alabama,Montgomery,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
66,1994,8332-Old-Federal-Rd_Montgomery_AL_36117_M75589-16813,289900.0,7558916813,2961717690,https://ap.rdcpix.com/debca25133b4644c07a1918f7fedc190l-m1318092139s-w1024_h768.jpg,2024-01-02,284500.0,15682,2124,2,0,4,36117,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0
67,1989,4040-Chambers-Pl_Montgomery_AL_36109_M75323-34823,175000.0,7532334823,2961447588,https://ap.rdcpix.com/2762acb72eebcf86d50c80a800262278l-m2519535199s-w1024_h768.jpg,2024-01-02,160000.0,4792,1475,2,0,2,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
68,2022,7107-Fain-Park-Dr_Montgomery_AL_36117_M97024-16423,439900.0,9702416423,2959892239,https://ap.rdcpix.com/edcb73416e181a3c9b2c85d6a6a6f387l-m2382958776s-w1024_h768.jpg,2024-01-02,439900.0,4356,3050,4,2,4,36117,Alabama,Montgomery,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0
69,1968,201-Eagerton-Rd_Montgomery_AL_36116_M73072-57977,101200.0,7307257977,2959976130,https://ap.rdcpix.com/1b57dd0074430e3f535b27b6b771d69el-m3916576073s-w1024_h768.jpg,2024-01-02,68250.0,18731,2556,2,0,3,36116,Alabama,Montgomery,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
70,1987,8148-Lichfield-Ct_Montgomery_AL_36117_M74353-05681,399000.0,7435305681,2957848730,https://ap.rdcpix.com/362a01e96e6225db96d00c15968792cfl-m48857310s-w1024_h768.jpg,2024-01-02,385000.0,29621,3288,4,2,4,36117,Alabama,Montgomery,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0
71,1978,4387-Wares-Ferry-Rd_Montgomery_AL_36109_M78991-23899,139900.0,7899123899,2962211734,https://ap.rdcpix.com/cf5788032ffb9fa45853c80e986d38c7l-m3464357290s-w1024_h768.jpg,2024-01-01,139900.0,26136,1500,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
72,1945,2326-Winona-Ave_Montgomery_AL_36107_M77279-81021,88000.0,7727981021,2961522977,https://ap.rdcpix.com/a5fe1391acf35d43ee6d825ce86f8115l-m2469028399s-w1024_h768.jpg,2024-01-16,88500.0,6534,1389,2,1,4,36107,Alabama,Montgomery,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
74,1955,611-Glenmore-Rd_Montgomery_AL_36107_M72316-04965,68000.0,7231604965,2957379146,https://ap.rdcpix.com/c41ec0e28b89fa84db6d75df3a75895fl-m2353506347s-w1024_h768.jpg,2024-01-16,65000.0,9712,1432,2,0,3,36107,Alabama,Montgomery,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
75,1984,1819-E-Trinity-Blvd_Montgomery_AL_36106_M77006-90979,169999.0,7700690979,2960975584,https://ap.rdcpix.com/1e4bac70e24f789842a6663b5314bb24l-m1823199980s-w1024_h768.jpg,2024-01-12,169000.0,10890,1804,2,0,3,36106,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1999,1112-Sandlewood-Ct_Montgomery_AL_36117_M87985-05230,189900.0,8798505230,2962329566,https://ap.rdcpix.com/61c1ed5b3aaa88ab80efcc49412241afl-m1501411809s-w1024_h768.jpg,2024-01-12,180000.0,12632,1476,2,0,3,36117,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0
77,2001,545-Ridge-Park-Dr_Montgomery_AL_36117_M71177-99851,254999.0,7117799851,2961991525,https://ap.rdcpix.com/686d934c4cdfa68e232633d5f6aeb101l-m1822167428s-w1024_h768.jpg,2024-01-12,260000.0,12632,1888,2,0,4,36117,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
78,1962,4275-Sunshine-Dr_Montgomery_AL_36116_M89229-76627,75000.0,8922976627,2952735222,https://ap.rdcpix.com/ef5ee786ae1446e742997757c4150decl-m62694281s-w1024_h768.jpg,2024-01-12,60000.0,13068,1722,2,0,3,36116,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1965,817-Dumont-Dr_Montgomery_AL_36109_M82240-34280,159000.0,8224034280,2962073853,https://ap.rdcpix.com/1ef4821fcf16029021d658c2db0e28b9l-m129105455s-w1024_h768.jpg,2024-01-12,159000.0,11326,1635,2,2,3,36109,Alabama,Montgomery,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0
80,1974,1380-Cantelou-Rd_Montgomery_AL_36108_M90991-19141,424900.0,9099119141,2959272543,https://ap.rdcpix.com/43f3585656821593959c92c35f9706efl-b3477118368s-w1024_h768.jpg,2024-01-12,424900.0,740520,3339,3,0,3,36108,Alabama,Montgomery,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
82,1969,369-Kroy-Dr_Montgomery_AL_36117_M77887-90816,140000.0,7788790816,2962320837,https://ap.rdcpix.com/12a7a90ae37bc922786e1b376ba4cc52l-m1145087508s-w1024_h768.jpg,2024-01-12,140000.0,14375,1576,2,0,3,36117,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
83,1954,3725-Dalraida-Pkwy_Montgomery_AL_36109_M75023-73005,149900.0,7502373005,2962528957,https://ap.rdcpix.com/afc556e71f380177925a6cb62f4d0b9el-m2457081295s-w1024_h768.jpg,2024-01-12,149900.0,13504,1736,1,0,3,36109,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0
84,1966,1109D-E-Nixon-Ave_Montgomery_AL_36104_M90664-70079,50000.0,9066470079,2962546121,https://ap.rdcpix.com/9924cfbadbb7f58c86308fcd3f5b624fl-m1101185229s-w1024_h768.jpg,2024-01-12,45000.0,4356,1434,1,0,2,36104,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
